usage_id	host_ip	proxy	domain	"time"
1	158.119.175.61	158.119.60.180	158.119.175.61	2007-10-05 11:50:50.964271
2	158.119.175.61	158.119.60.180	158.119.175.61	2007-10-05 11:55:51.837588
3	158.119.175.61	158.119.60.180	158.119.175.61	2007-10-05 12:04:14.917225
4		195.93.21.65		2007-10-06 16:14:29.960331
5		195.93.21.65		2007-10-06 16:14:48.536242
6	10.128.16.194	194.176.105.43	10.128.16.194	2007-10-08 09:34:45.652614
7	10.128.16.194	194.176.105.44	10.128.16.194	2007-10-08 09:38:39.317412
8	10.128.16.194	194.176.105.43	10.128.16.194	2007-10-08 09:42:24.395942
9		193.205.224.196		2007-10-08 11:20:39.484667
10		193.205.224.195		2007-10-08 11:27:18.872878
11	158.119.179.71	158.119.60.180	158.119.179.71	2007-10-08 11:31:57.955899
12	158.119.179.71	158.119.60.180	158.119.179.71	2007-10-08 11:32:33.695028
13	158.119.179.71	158.119.60.180	158.119.179.71	2007-10-08 11:33:10.988544
14		193.205.224.196		2007-10-08 11:33:54.748572
15		193.205.224.194		2007-10-08 11:35:37.44134
16		193.205.224.196		2007-10-08 11:37:36.267136
17		193.205.224.193		2007-10-08 11:54:21.744117
18		193.205.224.191		2007-10-08 12:00:17.736094
19		193.205.224.191		2007-10-08 12:14:54.227386
20		193.205.224.192		2007-10-08 12:16:05.33266
21		203.2.94.29		2007-10-09 22:06:53.664451
22		203.2.94.29		2007-10-09 22:09:06.962383
23		203.2.94.29		2007-10-09 22:10:52.135426
24		203.2.94.29		2007-10-09 22:11:52.20125
25		203.2.94.29		2007-10-09 22:12:27.083016
26		65.55.209.98		2007-10-13 19:59:30.759198
27		65.55.209.97		2007-10-13 22:48:49.14266
28	192.168.0.185	125.19.5.3	192.168.0.185	2007-10-16 06:59:00.019991
29	192.168.0.185	125.19.5.3	192.168.0.185	2007-10-16 07:00:24.183422
30	192.168.0.185	125.19.5.3	192.168.0.185	2007-10-16 07:00:49.071893
31	192.168.0.185	125.19.5.3	192.168.0.185	2007-10-16 07:02:27.597509
32	192.168.0.185	125.19.5.3	192.168.0.185	2007-10-16 07:29:19.802232
33	158.119.175.61	158.119.147.40	158.119.175.61	2007-10-17 14:03:17.975034
34	158.119.175.26	158.119.147.40	158.119.175.26	2007-10-18 10:35:53.70754
35	158.119.175.26	158.119.147.40	158.119.175.26	2007-10-18 10:36:18.335229
36	158.119.175.26	158.119.147.40	158.119.175.26	2007-10-18 14:13:33.075411
37		128.16.11.72		2007-10-18 14:15:42.129594
38	158.119.178.76	158.119.60.180	158.119.178.76	2007-10-22 08:41:41.569374
39	158.119.178.76	158.119.60.180	158.119.178.76	2007-10-22 08:43:54.427409
40		90.242.19.50		2007-10-24 18:24:01.771508
41		203.2.94.29		2007-10-25 23:59:07.172542
42		203.2.94.29		2007-10-26 00:03:52.828509
43		203.2.94.29		2007-10-26 00:09:12.468519
44		203.2.94.29		2007-10-26 00:11:28.246629
45		203.2.94.29		2007-10-26 00:12:07.762268
46		147.8.66.115		2007-10-26 03:15:55.357222
47		65.55.209.97		2007-10-29 04:14:02.191191
48		65.55.209.97		2007-10-31 06:00:24.729384
49		65.55.209.98		2007-11-01 05:07:05.120932
50		196.7.68.3		2007-11-01 11:30:21.276664
51		196.7.68.3		2007-11-01 11:37:12.542336
52		137.43.7.102		2007-11-01 13:57:51.300812
53		65.55.209.98		2007-11-02 00:10:16.738657
54		137.43.7.102		2007-11-02 11:50:14.290375
55		137.43.7.102		2007-11-02 13:01:02.481758
56		137.43.7.102		2007-11-02 13:02:28.879286
57	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-05 07:32:12.67294
58	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-05 07:34:26.870651
59	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:37:31.237062
60	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:39:05.205114
61	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:39:37.003981
62	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:40:59.790653
63	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:41:29.39188
64	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:44:36.761941
65	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:45:30.75028
66	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:46:43.744078
67	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:49:18.515951
68	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:50:10.108478
69	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:50:55.498801
70	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:52:00.966501
71	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:52:53.290988
72	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:53:40.475938
73	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:56:22.853871
74	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 07:57:18.044181
75		195.99.217.140		2007-11-05 08:04:06.938656
76	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-05 08:07:40.182988
77	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:10:56.742351
78	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-05 08:13:59.729739
79	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:19:02.872833
80	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:20:12.36117
81	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:21:20.119974
82	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:22:22.875437
83	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:23:05.27861
84	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:23:45.458854
85	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:24:30.440548
86	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:25:10.234387
87	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:26:23.061591
88	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:27:03.219543
90	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:38:05.723175
102	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-05 10:57:58.263307
89	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:27:53.810953
91	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 08:39:12.028284
99	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 10:48:25.351598
92	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-05 08:40:50.246087
93	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-05 08:41:11.371338
94	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 10:38:40.648198
95		128.16.10.151		2007-11-05 10:38:44.099143
105	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-05 13:13:15.104712
96	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-05 10:44:06.59418
97	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-05 10:44:22.985957
98	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-05 10:45:59.779463
104	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 11:03:16.624286
100	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 10:49:31.154374
101	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-05 10:50:51.531287
103	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-05 10:59:32.84489
106		137.43.7.102		2007-11-06 08:48:18.394123
107		65.115.64.62		2007-11-06 14:32:46.824236
108		65.115.64.62		2007-11-06 15:05:54.043692
109		65.115.64.62		2007-11-06 15:14:18.699667
110		65.115.64.62		2007-11-06 15:20:07.001367
111		65.115.64.62		2007-11-06 15:23:53.439851
112		65.115.64.62		2007-11-06 15:24:49.014716
113		65.115.64.62		2007-11-06 16:50:48.827514
114		65.115.64.62		2007-11-06 16:52:17.83198
115	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-07 08:02:31.270754
116	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-07 08:03:09.761166
117	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-07 08:03:28.52079
118	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-07 08:03:52.048035
119	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-07 08:04:17.496098
120	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-07 08:04:36.471068
121	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-07 08:04:56.40386
122	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-07 08:11:08.737447
123	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-07 10:23:58.698855
124	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-07 10:28:19.099472
125	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-07 10:30:20.620129
126	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-07 10:33:02.338507
127	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-07 10:35:37.193361
128	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-07 10:37:37.922441
129	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-07 10:40:57.345811
130	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-07 10:42:37.143169
131		159.149.64.18		2007-11-07 10:42:39.659534
132		159.149.64.18		2007-11-07 10:44:30.435846
133		159.149.64.18		2007-11-07 10:46:16.837146
134	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-07 10:47:18.898311
135		159.149.64.18		2007-11-07 10:48:53.70365
136		159.149.64.18		2007-11-07 10:52:46.357612
137		159.149.64.18		2007-11-07 10:54:16.645978
138	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-07 11:01:15.165525
139		137.43.7.102		2007-11-08 08:35:20.00683
140		137.43.7.102		2007-11-08 08:37:38.582398
141		137.43.7.102		2007-11-08 08:38:37.045076
142		137.43.7.102		2007-11-08 08:40:54.263955
143		137.43.7.102		2007-11-08 08:42:09.87627
144		137.43.7.102		2007-11-08 08:47:16.452448
145		137.43.7.102		2007-11-08 08:48:56.611553
146		137.43.7.102		2007-11-08 08:51:08.907272
147		137.43.7.102		2007-11-08 09:55:15.338141
148		137.43.7.102		2007-11-08 10:17:25.819999
149	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-09 10:21:50.448863
150	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-09 10:23:48.631836
151	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-09 10:24:18.828461
152	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-09 10:37:33.907552
153	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-09 10:38:21.701221
154	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-09 10:39:01.495264
155		159.92.194.77		2007-11-12 16:00:01.366944
156		159.92.194.77		2007-11-12 16:01:41.140913
157		159.92.194.77		2007-11-12 16:07:15.00211
158		124.16.129.99		2007-11-14 06:25:46.918683
159		193.171.178.7		2007-11-15 07:18:06.294337
160		193.171.178.7		2007-11-15 07:34:00.265363
161		193.171.178.7		2007-11-15 07:34:47.2594
162		193.171.178.7		2007-11-15 07:34:57.318474
163		193.171.178.7		2007-11-15 07:35:33.404489
164		193.171.178.7		2007-11-15 07:36:17.131076
165	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-15 07:46:43.518092
166	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-15 08:21:36.207107
167	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-15 08:35:43.078932
168	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-15 09:52:50.603193
169	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-15 09:56:14.760257
170	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-15 10:07:22.492118
171	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-15 10:18:58.759387
172	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-15 10:25:07.498227
173	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-15 12:19:34.732075
174	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-15 12:20:30.356264
175	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-15 12:21:11.175279
176	158.119.175.61	158.119.60.180	158.119.175.61	2007-11-15 12:23:15.914852
177	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-15 13:20:21.957662
178	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-15 13:21:15.932761
179	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-15 13:37:15.744051
180	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-15 14:07:52.111445
181	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-15 14:08:10.325289
182	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-15 15:19:45.268496
183	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-15 15:19:54.370068
184	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-15 15:20:31.671641
185	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-15 15:21:04.650765
186	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-15 15:22:03.498674
187	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-15 15:23:07.332527
188	158.119.179.71	158.119.60.180	158.119.179.71	2007-11-15 15:24:19.068691
189		65.115.64.62		2007-11-15 17:39:36.793266
190		65.115.64.62		2007-11-15 17:40:12.221993
191		65.115.64.62		2007-11-15 17:41:06.336656
192	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-16 09:10:34.447114
193	10.128.16.194	194.176.105.43	10.128.16.194	2007-11-16 09:13:46.025218
194	10.128.16.194	194.176.105.44	10.128.16.194	2007-11-16 09:18:49.173087
